image_filename,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
11.jpg,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,JAPAN,SUNNY,MORNING,SPRING,HIKING,NOSTALGIA
12.jpg,White buildings with blue domes overlooking the calm Aegean Sea.,GREECE,SUNNY,AFTERNOON,SUMMER,RELAXATION,HAPPINESS
13.jpg,The ancient Incan citadel set high in the Andes Mountains.,PERU,CLOUDY,MORNING,NOT CLEAR,SIGHTSEEING,ADVENTURE
15.jpg,Elephants walking through the tall grass of the savanna.,TANZANIA,SUNNY,AFTERNOON,FALL,SIGHTSEEING,CURIOSITY
16.jpg,The bright neon lights and crowds of Times Square.,UNITED STATES,NOT CLEAR,EVENING,WINTER,SIGHTSEEING,EXCITEMENT
18.jpg,Green aurora borealis dancing over a snowy landscape.,ICELAND,SNOWY,EVENING,WINTER,RELAXATION,MELANCHOLY
21.jpg,"a small town on top of a cliff with sea view, the place looks clam and the people seems kind",ITALY,SUNNY,AFTERNOON,SPRING,NOT CLEAR,EXCITEMENT
22.jpg,"a town between a huge mountaine and ocean on the other side, looks like a good place",SOUTH AFRICA,SUNNY,MORNING,SUMMER,HIKING,ADVENTURE
23.jpg,"buildings and some skyscrapers turned on with a mountiane in the background with snow on top, like the culture and game tournament",JAPAN,NOT CLEAR,EVENING,FALL,RELAXATION,ROMANCE
24.jpg,"some house with mountain in the background and green aura lights in the sky, the aura lines in the sky is one of the best things in this world",SWEDEN,NOT CLEAR,EVENING,WINTER,RELAXATION,EXCITEMENT
25.jpg,"a town with house and split with river and cant see the end of the town because of the fog, one of the best places if u like cars which I do",GERMANY,CLOUDY,AFTERNOON,WINTER,NOT CLEAR,HAPPINESS
26.jpg,"4 pyramids 3 in the back and one small in front of them,  the last of the seven wonders worth a visit",EGYPT,SUNNY,MORNING,SPRING,SIGHTSEEING,NOSTALGIA
27.jpg,"tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",RUSSIA,CLOUDY,AFTERNOON,FALL,SIGHTSEEING,HAPPINESS
28.jpg,"small town with snow over the house roofs, love the nature and the country have a lot of it",ROMANIA,SNOWY,EVENING,WINTER,HIKING,EXCITEMENT
29.jpg,"mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",NETHERLANDS,CLOUDY,AFTERNOON,FALL,RELAXATION,ADVENTURE
30.jpg,"a tall tower in the shape of A, I have all my bestfriends in this place",FRANCE,SUNNY,EVENING,SPRING,SIGHTSEEING,ROMANCE
31.jpg,"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",PERU,SUNNY,MORNING,SPRING,SIGHTSEEING,CURIOSITY
32.jpg,"""snowy lakeside village that brings inner peace to the visitor""",AUSTRIA,CLOUDY,AFTERNOON,WINTER,RELAXATION,MELANCHOLY
