Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
"https://res.cloudinary.com/traveltripperweb/image/upload/c_limit,f_auto,h_2500,q_auto,w_2500/v1633099727/ifi6s6ttfzaptm3fleqn.jpg",A lively city with endless activities and famous foods. I chose it for sightseeing and trying the bagels.,USA,snowy,Afternoon,summer,,Curiosity
https://heymondo.com/blog/wp-content/uploads/2023/06/Cinque-Terre-Italy.jpg.webp,A country with charming towns and peaceful scenery. I chose it to relax and enjoy the atmosphere.,Italy,sunny,Afternoon,summer,,Romance
https://www.worldatlas.com/r/w1200/upload/98/01/8e/shutterstock-156134501.jpg,A historic religious city filled with sacred sites. I chose it for its spiritual meaning and sightseeing.,Palestine,snowy,Morning,winter,,Calm
https://patitotangiertours.com/wp-content/uploads/2024/10/8_6399d341002d4s_0.jpg,A peaceful blue-colored city in the mountains. I chose it for relaxing and calm sightseeing.,Morocco,sunny,Afternoon,not clear,,Romance
https://www.discover-the-world.com/app/uploads/2024/09/norway-northern-tromso-surrounds-with-aurora-istk.jpg,"A land of waterfalls, mountains, and unique nature. I chose it for breathtaking sightseeing.",Iceland,not clear,Evening,winter,,Excitement
https://saharadesertdubai.com/storage/tours/images/zaZMzdB3X3AuvUKjX66iMDIB6igNc8Y2PN0dYIEn.jpg,A modern city with skyscrapers and desert roads. I chose it to try drifting and exciting driving experiences.,UAE,sunny,Afternoon,summer,,Adventure
https://img.peapix.com/aa03e0e26374440d8919df881ad8b128_1280.jpg,A tropical country with amazing beaches. I chose it to swim and enjoy the summer vibes.,Brazil,sunny,Afternoon,summer,,Adventure
https://cdnp.flypgs.com/files/Sehirler-long-tail/SarmElSeyh/sarm-el-seyh-shaba-cami.jpg,A beach city with clear waters and resorts. I chose it for sightseeing and beautiful coastal views.,Egypt,not clear,Afternoon,not clear,,Excitement
https://arabicpost.live/wp-content/uploads/2023/02/shutterstock_96622405-1000x600-1.jpg,Ancient pyramids and desert landscapes. I chose it for sightseeing and exploring history.,Egypt,sunny,Morning,summer,,Curiosity
https://www.advantour.com/img/turkey/images/trabzon.jpg,"A green, mountainous city by the sea. I chose it for peaceful nature sightseeing.",Turkey,not clear,Morning,not clear,,Happiness
