Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://upload.wikimedia.org/wikipedia/commons/8/85/Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg,"Eiffel Tower, symbolizing romance and French culture",France,Sunny,Afternoon,Spring,Sightseeing,Romance
https://upload.wikimedia.org/wikipedia/commons/2/2f/Treasury_petra_crop.jpeg,"Petra, ancient city carved into red sandstone cliffs",Jordan,Sunny,Afternoon,Summer,Exploring,Curiosity
https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/1200px-Colosseo_2020.jpg,"Colosseum, Ancient Roman amphitheater",Italy,Sunny,Morning,Spring,Sightseeing,Curiosity
https://themunichguide.de/wp-content/uploads/2020/01/neuschwanstein-castle-in-winter-1.jpg,"Neuschwanstein Castle, Fairy-tale castle in the Alps",Germany,Snowy,Morning,Winter,Photography,Nostalgia
https://media.meer.com/attachments/d6b51ad2e12967cd5a4785a179060f0e35956cf7/store/fill/1090/613/b839af5efc41942c061d17e7816be14895312c7b29b65f4df95f66ee1f78/The-Prague-Castle-District-beautifully-illuminates-at-night-casting-a-magical-glow-over-the-city.jpg,"Prague Castle & Charles Bridge, glowing at night.",Czech Republic,Cloudy,Evening,Fall,Walking Tour,Curiosity
https://images.adsttc.com/media/images/6526/e5c2/64e5/0c5f/47f3/0877/large_jpg/l35-architects-sobre-la-remodelacion-del-estadio-santiago-bernabeu-de-madrid-a-pocos-meses-de-finalizar_16.jpg?1697048007=,"Santiago Bernabéu Stadium, Iconic stadium of Real Madrid",Spain,Cloudy,Afternoon,Spring,Stadium Tour,Excitement
https://upload.wikimedia.org/wikipedia/commons/8/82/Taj_Mahal_at_Sunrise_IMG_6028.jpg,"Taj Mahal, symbol of love and artistry.",India,Sunny,Morning,Fall,Sightseeing,Romance
https://explorethecanyon.com/wp-content/uploads/2014/03/grand-canyon-colorado-river.jpg,"Grand Canyon, nature’s grandeur on display",USA,Sunny,Afternoon,Summer,Hiking,Adventure
https://www.twowanderingsoles.com/wp-content/uploads/2024/10/Hallstatt-Austria-Christmas-Europe-winter-6-1024x768.jpg,"Hallstatt, a picturesque winter wonderland.",Austria,Snowy,Morning,Winter,Photography,Nostalgia
https://images.photowall.com/products/51828/venice-grand-canal-at-sunset.jpg?h=699&q=85,"Venice, historic architecture glowing in sunset light.",Italy,Sunny,Evening,Spring,Boat Riding,Romance
